Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Mean Squared Error,Mean Absolute Error,Median Absolute Error,R2 Score,Explained Variance Score,Training Time,Inference Time
Acorns,Ensemble Genetic Programming,1,"num_trees: 50, num_forest: 20, max_generations: 10",59.953659415436704,5.789510766287807,3.903239563385904,-0.39249005726249386,0.04180027426811539,49029 microseconds,4541 microseconds
Acorns,Ensemble Genetic Programming,2,"num_trees: 400, num_forest: 10, max_generations: 70",22.436706367187508,3.512562500000003,2.6060625000000046,-1.3906986006592978,-0.19272011063199224,418690 microseconds,25961 microseconds
Acorns,Ensemble Genetic Programming,3,"num_trees: 350, num_forest: 30, max_generations: 10",4.3981523349633225,1.844500998316802,1.8801654451632144,0.24104360052401694,0.26239194934843946,334127 microseconds,21918 microseconds
Acorns,Ensemble Genetic Programming,4,"num_trees: 300, num_forest: 35, max_generations: 10",6.04286472834409,2.3121254965615123,2.3452517472192445,-143.3072173932917,-15.643353229713926,283781 microseconds,21051 microseconds
Acorns,Ensemble Genetic Programming,5,"num_trees: 300, num_forest: 30, max_generations: 10",1.0698793680555572,0.9997916666666676,1.0156666666666667,0.11944084933699005,0.2061745041723808,298010 microseconds,19136 microseconds
Acorns,Ensemble Genetic Programming,6,"num_trees: 300, num_forest: 10, max_generations: 10",10.900684684373717,3.072335353151244,3.2816541364580734,-40.92571032451429,-4.620923700579743,295594 microseconds,19607 microseconds
Acorns,Ensemble Genetic Programming,7,"num_trees: 400, num_forest: 25, max_generations: 20",0.8219516640625009,0.8833750000000009,0.9100625000000024,0.24025265020219425,0.2423107993934128,401823 microseconds,24881 microseconds
Acorns,Ensemble Genetic Programming,8,"num_trees: 200, num_forest: 10, max_generations: 10",6.488000479651678,2.047502193740184,1.6805531080138658,-0.35874355594799545,-0.3508371011378373,190264 microseconds,13362 microseconds
Acorns,Ensemble Genetic Programming,9,"num_trees: 400, num_forest: 30, max_generations: 10",4.42450483590763,2.0637335553080858,2.127060256062548,-0.0773410040255984,0.3319936165302353,393447 microseconds,26325 microseconds
Acorns,Ensemble Genetic Programming,10,"num_trees: 150, num_forest: 20, max_generations: 10",14.401481888888874,3.218999999999999,3.1583333333333314,-0.674158318264013,0.16918689973879875,146981 microseconds,10243 microseconds
Acorns,Extra Tree Regressor,1,"splitter: random, min_samples_split: 2, max_depth: 2",8.044374999999999,2.3625,1.5,-0.5187020648967551,-0.06513274336283192,1325 microseconds,1213 microseconds
Acorns,Extra Tree Regressor,2,"splitter: random, min_samples_split: 4, max_depth: 3",27.547523148148144,4.5152777777777775,4.330555555555557,-0.6713828461960876,-0.642006089742239,1282 microseconds,1155 microseconds
Acorns,Extra Tree Regressor,3,"splitter: random, min_samples_split: 4, max_depth: 2",13.10640625,3.0562499999999995,2.6625,-0.6028624933119315,-0.5826788580600781,1335 microseconds,1519 microseconds
Acorns,Extra Tree Regressor,4,"splitter: random, min_samples_split: 5, max_depth: 2",2.222193877551021,1.3821428571428571,1.3071428571428574,-6.125270950063393,-2.220446049250313e-16,1315 microseconds,1196 microseconds
Acorns,Extra Tree Regressor,5,"splitter: random, min_samples_split: 6, max_depth: 1",5.481992999999999,2.1665,1.982,-33.94497529880478,-4.0248334661354574,1321 microseconds,1186 microseconds
Acorns,Extra Tree Regressor,6,"splitter: random, min_samples_split: 3, max_depth: 3",22.241459750566893,3.4726190476190477,1.8785714285714277,-47.089642703928426,-21.01594962309249,1514 microseconds,1193 microseconds
Acorns,Extra Tree Regressor,7,"splitter: random, min_samples_split: 2, max_depth: 1",2.7599669187145563,1.4793478260869566,1.8086956521739133,-0.07313416037503973,0.0,1363 microseconds,1164 microseconds
Acorns,Extra Tree Regressor,8,"splitter: random, min_samples_split: 7, max_depth: 2",6.1712811791383215,1.8380952380952384,1.15,-0.3985906354987701,0.0,1381 microseconds,1153 microseconds
